mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,mfcc_21,mfcc_22,mfcc_23,mfcc_24,mfcc_25,mfcc_26,mfcc_27,mfcc_28,mfcc_29,mfcc_30,mfcc_31,mfcc_32,mfcc_33,mfcc_34,mfcc_35,mfcc_36,mfcc_37,mfcc_38,mfcc_39,label
-624.7452,73.17284,-2.7967317,15.163055,2.1096778,-0.23702016,-6.708165,-8.6099825,-16.247543,-3.9305065,2.7480264,-8.271039,2.242188,-4.9180493,-0.7985237,1.8358277,-7.9844184,-2.37169,-1.1588402,-3.912456,-6.005664,-2.3394434,-2.8451903,-4.459838,-2.9120402,-0.5448267,-6.057128,1.4211484,-3.171952,-0.8932394,-2.936514,-2.754592,-2.9032636,-4.3951416,-4.2881413,-2.1773953,-2.018531,-1.4131672,-4.2916245,-2.6206458,1
-609.8511,67.12106,-2.721703,20.874361,1.1470485,-0.87490404,-4.1942916,-8.3853,-16.975023,-5.451604,-0.004865793,-6.566745,2.6523442,-6.057265,-1.901133,0.5600509,-9.52142,-3.0180433,-1.8040926,-3.428604,-7.126046,-1.8134629,-3.1980534,-5.2543993,-3.6173923,0.10844668,-7.9009204,0.35029578,-4.93085,-0.9123811,-3.696411,-2.6453183,-3.446404,-3.6524742,-4.5731473,-2.290986,-2.7898555,-3.036171,-5.591781,-2.3649063,1
-557.18335,59.017,-7.793509,6.5844812,-2.0007267,-1.8441815,-14.622894,-10.370557,-13.387652,-11.169495,-1.0834389,-8.65969,-2.3286142,-4.8912416,-8.648254,-1.2249733,-9.048727,-3.5322037,-3.4536664,-5.9708276,-6.4328876,-3.5546732,-4.8729434,-5.494307,-4.172825,-2.1125405,-2.724957,2.919466,0.91561466,1.112507,-2.7876198,-1.9260225,-1.9897182,1.7896897,1.6482605,6.495875,2.8335116,0.87863404,-1.5495934,-0.8426527,1
-525.4161,65.63713,-14.535283,6.030333,2.3343506,-2.808113,-13.947023,-9.671214,-17.987,-9.413151,3.5330377,-9.907562,-2.3540616,-2.7063115,-7.5278783,0.63384646,-9.164032,-7.3827147,-3.302016,-5.8455706,-7.708004,-5.2143674,-4.4172797,-5.6639347,-2.8284457,1.0441439,-5.2609797,0.8331008,-1.2064877,-3.0267866,-1.229339,2.0904229,0.87919575,1.402127,-0.6684381,4.9582677,5.000597,6.281557,1.8504397,-0.07749458,1
-461.73404,60.666733,-14.954896,8.714719,-1.1689533,-4.240735,-14.565378,-12.59824,-24.225513,-6.8274956,-0.38116395,-12.332831,0.058864888,-5.306436,-9.407652,2.0711765,-12.642496,-5.204319,-3.1769254,-6.3086123,-9.245613,-3.157062,-6.2343087,-7.0399256,-5.460048,-3.9004729,-7.6472645,-2.3290453,-6.570049,-2.4792836,-0.25385407,-0.25461286,2.415499,1.3015678,0.7451914,2.3524282,4.0441856,3.0315688,1.4010105,3.0749326,1
-478.5175,63.01322,-13.330892,7.0611205,-2.0899315,-5.766535,-14.014148,-12.981698,-23.12286,-9.875229,-2.538891,-9.424001,-0.53095645,-3.6929605,-10.082283,0.35875484,-11.24842,-7.3909855,-3.4411654,-4.1219287,-10.171326,-3.4498649,-5.501594,-8.336653,-5.671765,-2.1419084,-8.753415,-2.4964373,-5.432824,-3.9042122,-3.6165926,-2.4178739,-3.705536,1.8200275,-0.6634598,4.665632,1.99642,1.8737015,1.0501786,2.9757476,1
-635.3394,76.43204,-3.316652,17.484627,8.464237,-3.974326,-3.5038831,-11.079561,-14.081592,-5.602634,-5.1801105,-2.1117344,-1.0305097,-7.9859047,-2.502656,-1.5899189,-6.9500737,-6.0879073,-4.074169,-1.2179973,-8.930012,-3.0172775,-3.2933447,-6.4595594,-2.686237,-2.4179087,-5.9301214,-1.5590812,-3.0725656,-2.5277112,-3.018035,-2.804018,-3.2996826,-2.8610146,-5.794608,-3.5536656,-2.7257817,-2.893357,-4.634435,-3.490417,2
-665.4506,77.56654,-1.3245605,19.562101,10.074895,-0.5747197,0.18488652,-9.01074,-12.226952,-6.5652666,-2.0868657,-2.406623,-2.0944486,-4.1123457,-0.8572058,-1.0473542,-4.4420743,-3.1997554,-1.9780123,-0.07679376,-7.9072733,-1.44998,-1.550335,-5.288115,-1.7408767,-1.6439335,-4.7310095,-1.3977937,-4.09297,-1.5673257,-2.1050858,-2.7498722,-3.2857635,-2.4847226,-5.1451097,-0.80266863,-2.534957,-2.8826027,-4.325392,-3.4689848,2
-707.58325,70.143616,-4.024364,16.276506,7.6315937,-2.0766404,-2.0330076,-8.812694,-12.769,-4.45842,-1.1752766,-1.5897102,-1.5073601,-3.9237695,-3.1666284,-0.32284507,-5.323972,-7.2265277,-0.81878954,-0.56151164,-7.2160554,-2.489718,-3.4199953,-5.223385,-2.0192847,-0.8734721,-3.5003154,-0.03927193,-3.7981772,0.23140752,-2.9656289,-4.1677423,-2.0999146,-1.6301209,-3.6618764,-0.99497235,-0.98540604,-2.4658456,-4.9186673,-3.266586,2
-690.6565,66.88308,0.7830218,17.508816,6.7494617,-0.19734477,1.3845857,-8.455477,-13.747969,-4.4774103,-2.704862,-2.7846105,-0.08268792,-4.579745,-2.9139078,2.0638196,-3.6104813,-4.8350897,-1.8756595,-0.18488088,-7.375652,-2.2800305,-2.2601001,-4.0968947,-2.280957,-0.74133337,-4.944083,-2.6195476,-2.676535,-0.059326995,-2.011802,-1.8194486,-2.2955604,-2.8116336,-4.636923,-1.8757082,-2.4055564,-1.8548156,-3.0615873,-2.8536494,2
-624.7601,77.32271,-0.040977597,20.31478,9.103449,-2.9975524,-1.754604,-9.959387,-12.272593,-2.161028,-3.2407756,-3.4289172,-0.29821855,-6.5747914,-1.9441408,1.1520425,-6.429176,-4.0442634,-3.3714068,-0.4022783,-6.445182,-1.5838612,-3.1299748,-6.4235272,-2.628432,-1.319839,-4.645254,0.5301677,-2.3619165,-0.39467144,-3.6340306,-1.3301513,-4.009903,-2.367979,-5.081231,-1.7000135,-2.609526,-3.3713043,-3.4622755,-4.1121206,2
-588.0421,62.543705,-6.1096635,12.850621,4.4851637,-4.51383,-10.725257,-8.844554,-18.670128,-5.4938993,-2.7445745,-8.592841,0.38232598,-6.0616274,-6.306794,1.482051,-11.19217,-4.246357,-0.89025795,-3.3045833,-8.01123,-2.5010788,-8.783038,-4.7904563,-4.6619835,-1.8082538,-5.733258,-2.7866807,-3.1898592,-1.6437596,-3.4880667,-3.6428595,-4.2030754,-2.4512906,-4.6654954,1.0441911,-0.70826346,-2.1624455,-3.9749703,-2.2628298,2
-579.2757,67.96274,-7.2322545,16.87379,4.7673697,-3.4902568,-8.522131,-11.564636,-22.936941,-6.099434,-2.845628,-9.018748,0.42405155,-6.9349046,-4.72314,1.7748204,-8.406883,-5.666012,-3.624088,-3.167562,-9.236927,-4.829237,-3.3356938,-7.412742,-5.8304477,-1.3079381,-8.425099,-1.8144327,-4.4054894,-2.1660535,-4.3470707,-3.1212025,-4.1798677,-3.4027252,-4.9836283,-2.8663363,-0.887929,-0.6473593,-0.66946405,-0.27223802,2
-559.40454,62.791447,-5.2115827,16.395334,2.764341,-3.9567993,-8.73322,-11.044166,-19.826826,-4.8050346,-1.7142737,-7.573173,0.5055547,-7.955897,-4.9528995,1.6562495,-9.977386,-5.5243936,-3.5859487,-3.3717854,-8.644175,-2.7288504,-3.3251271,-7.0301714,-4.045756,-1.3786668,-7.4219613,-0.11179956,-6.001717,-1.0421956,-4.27469,-3.2498522,-4.7906632,-3.8420217,-4.9753313,-2.4665146,-1.8590089,-2.9999719,-3.8662472,-2.4532418,2
-493.3474,54.380955,-7.9601636,16.022602,-2.0132337,-3.7764592,-5.712548,-2.0175767,-16.124369,-6.239444,-1.1758038,-6.1724176,-0.9436921,-5.930566,-4.205057,-2.2898207,-7.905351,-2.359319,-5.0048904,-4.247025,-6.7373743,-3.2362657,-5.4649844,-5.087248,-4.217127,-1.5433611,-6.2331347,1.6936127,-2.8621628,-0.97112185,0.05069486,-0.4268705,-2.745404,-2.136113,-3.1464841,0.034402248,-1.7615598,-0.41955587,-4.637434,-1.5587248,3
-467.23145,51.970486,-7.2558966,10.258113,-4.733809,-4.9934072,-9.361728,-11.243205,-17.251888,-8.872731,-5.9335713,-8.581942,-4.5540757,-6.1539984,-5.84806,-3.8369615,-10.943621,-2.2785678,-7.280447,-5.462643,-5.7648187,-3.387306,-2.6977386,-1.4113513,-2.7506769,-0.19249643,-4.0644646,-0.23908909,-3.9740736,-2.5369577,-1.9154948,-2.7201371,-3.0617378,-2.6199448,-3.096183,1.9068007,-0.021894632,3.3919916,-0.54741406,1.2200279,3
-543.7886,52.73125,-1.8352916,13.779485,-0.52934074,-2.0978267,-6.1296544,-7.702122,-15.636351,-4.8107495,-4.2951775,-5.1358843,-1.1826212,-6.2351475,-2.6655822,-0.64399225,-8.993831,-3.191428,-2.5230515,-5.140028,-7.3239107,-2.6089497,-3.9344273,-5.6509895,-3.9875038,-2.3653345,-5.921632,-1.3148084,-3.11309,-2.2127628,-1.3175749,-1.5165817,-1.0121126,-1.0892466,-2.8731954,0.109378524,-1.1336745,-0.65224725,-2.5794466,-0.4950501,3
-487.83914,54.581116,-3.7749577,10.430044,-0.16767414,-4.48058,-5.5359206,-8.279453,-18.892134,-6.310821,-3.3296652,-7.3053727,0.2078884,-6.5761805,-5.659571,0.9208431,-11.498343,-1.9853472,-2.1864028,-6.185282,-7.817333,-0.90721565,-5.506703,-4.511724,-3.9661489,-3.3604014,-7.0700703,-1.8377331,-3.967924,-1.5380669,-1.2080371,-1.354756,-0.035711788,-2.489669,-3.5077336,0.7565956,-1.4629481,1.3228319,-1.9340161,-1.7482802,3
-279.5752,36.491653,-27.63833,1.7149785,-16.333364,-7.0435934,-16.995216,-17.42682,-18.01183,-11.735479,-7.857818,-5.9392223,-9.297103,-7.367487,-4.75607,-0.23364188,-9.4560175,3.6890793,3.8831763,5.5194626,5.1326323,6.7430034,5.709237,1.9874159,0.4491413,1.0253131,-2.4952517,3.595883,2.9023306,-0.9265924,-0.066064395,-0.3824248,2.0372164,1.3085376,-3.24349,3.242219,2.804963,2.2567782,-2.8461382,-0.71842235,3
-295.10825,19.235218,-28.521435,6.6235147,-10.311883,-6.1362314,-16.278711,-11.184525,-20.104332,-11.986926,-5.602143,-10.092441,-5.4421544,-3.414282,-6.429214,-3.2362592,-14.043578,-7.1847525,-6.2487454,-8.890406,-7.5045023,0.017276,-0.4558723,5.307231,7.9648786,8.19699,2.7718184,4.953689,-3.2594042,2.0675514,3.1999419,3.6699753,-1.8418511,-0.1656076,-3.1748967,2.764307,1.1507686,1.5328547,-4.053636,-1.0772105,3
-334.85727,31.797277,-19.010319,7.693863,-10.078792,-8.349573,-13.611812,-7.5277004,-19.698595,-9.4878845,-5.932713,-10.246715,-3.0152152,-5.274433,-7.627665,0.42058763,-13.115625,-1.5320921,-3.8344994,-5.247736,-3.692645,0.4677082,-2.5704978,0.87090075,1.0228864,3.316569,-0.5227351,1.6240361,-0.7162373,1.4897069,1.0183328,1.1797721,-1.377472,0.5189857,-0.36869723,3.8903942,1.6183554,4.2496324,0.7365111,2.4496586,3
-251.8021,20.304832,-27.175304,-0.5294363,-9.930997,-8.532934,-21.683256,-15.329962,-18.458117,-11.914018,-4.145768,-10.302326,-7.7378516,-5.316532,-3.5190716,-0.56152207,-6.0259333,5.4071393,8.5000105,2.9651108,1.944675,2.2968848,2.0317764,3.7879033,-0.4197683,-1.9958506,-4.9730244,-1.1469035,-0.83286077,0.22756776,-3.5010264,-2.125908,-1.070098,0.7483813,-1.1854656,2.2769651,0.90100706,2.472793,-1.943222,-2.9228961,3
-553.4542,70.427025,2.2776556,17.080875,9.985263,-3.3647616,-5.491633,-10.769657,-15.301411,-2.0076005,-3.0351562,0.3628169,4.2202325,-4.6128917,1.7548764,6.1410537,-5.0988107,-2.4391477,-1.1260339,-1.9956416,-6.209616,-0.3535433,-3.607961,-4.5699477,-1.9728304,0.023219476,-3.8594878,1.5392078,-4.75677,-0.78979385,-2.078639,-1.5088663,-3.122182,-1.567416,-4.997887,-2.05463,-0.43235362,-0.448499,-1.2265942,0.4411785,4
-566.37744,66.025696,-7.692988,10.705452,5.0031114,-5.1187086,-9.843181,-14.792452,-19.767763,-5.0433884,-4.3072233,-7.539036,-0.41055363,-7.814292,-2.4225056,3.0637636,-9.0387945,-5.171001,-2.9867396,-3.8779314,-7.232681,-1.8825369,-5.4626274,-5.9544187,-4.1089306,-2.3187773,-6.8317986,-0.9802915,-4.4468374,-3.2268906,-4.8351126,-1.8167939,-3.1913075,1.1723013,-1.2240654,1.7129213,1.9786959,1.7775263,-2.0102546,0.5359282,4
-600.7947,64.28277,5.1711764,19.39975,10.169693,3.290399,-1.6707907,-6.07033,-9.351086,0.22744966,-0.38212657,-0.3984401,2.629153,-2.755386,0.04296511,3.5206304,-3.673374,-2.235179,0.91323465,2.3950393,-6.6899548,-0.8771982,-2.1922967,-3.7937772,-3.2164414,-0.05478404,-4.121529,0.7845756,-3.1033587,-1.0169057,-2.1312184,-0.9769493,-3.1591134,-2.2079399,-4.386374,-1.8888404,-0.920496,-1.5733373,-3.9152966,-2.8876507,4
-581.5342,68.02119,-5.4170313,18.38468,6.807968,-1.4504144,-4.730415,-11.60788,-12.463958,-2.0498426,-2.2923982,-2.1348987,-0.30662924,-5.0496874,0.21485837,-0.31646806,-3.8534312,-4.324341,-0.5321584,1.7058719,-8.893485,-0.13266666,-3.7511036,-4.583833,-2.6893563,-1.7505933,-6.441845,-0.23993586,-4.7168813,-1.2647221,-3.289941,-0.7721782,-5.3053026,-2.7939138,-5.6023693,-1.5970376,-1.4498477,-3.1347811,-4.401729,-3.640575,4
-438.84335,42.453266,-10.254343,8.530149,0.5280431,6.416069,-4.652083,-11.229809,-14.092233,-4.510528,1.4694643,-0.56215435,-0.24678996,-2.4530888,0.7061508,8.815761,0.15754464,-3.5096447,-0.10963593,-2.2426033,-4.5902658,2.951818,-0.018186012,2.6231534,1.6858704,5.809299,0.92152166,5.197047,2.9452367,0.09534818,3.557428,3.6408527,-0.3790633,2.686567,-2.391365,2.3021836,4.3136463,4.4771276,0.9026111,2.072037,4
-367.60315,47.563885,-19.173672,-0.65651184,1.029651,-3.0429764,-11.210456,-14.726442,-19.544933,-10.661591,-4.6264396,-7.9690156,-7.543768,-7.306628,-6.0705357,3.0983717,-11.728602,-9.666992,-3.306979,-4.769551,-9.221862,-2.3567235,1.1707892,4.060933,6.428614,11.013028,3.9902577,6.445072,4.1690407,6.149856,8.561572,6.18949,0.889838,0.9533695,-2.0041797,3.159177,3.888553,1.2563684,-3.200952,-0.61512953,4
-315.9085,46.929115,-20.574335,-1.0025167,-7.917829,-3.2367916,-12.470692,-20.102509,-20.631542,-12.320645,-5.757235,-10.480476,-10.255997,-9.220406,-9.500469,4.035669,-11.735883,-7.109663,-2.3406088,-3.6033437,-5.843027,-0.5836194,0.49980357,4.082685,7.7565985,14.01819,6.8204646,7.944308,0.98907214,0.5566733,2.1744587,3.9340448,3.9305253,1.3073782,-3.1655214,2.4304345,3.8504615,3.2010014,-0.66298443,-0.56475204,4
-376.0662,49.834743,-18.783644,0.04715682,-2.9562871,-0.65867007,-15.782602,-14.653611,-19.060965,-12.987939,2.090551,-8.892758,-8.775359,-8.279614,-7.32981,3.1886563,-11.084082,-8.627698,-1.9694645,-5.8722987,-8.460757,-1.8187699,-0.2569741,1.2284944,3.0466645,9.110485,4.6056676,8.070983,5.6532593,4.448805,4.9936705,3.7401772,1.3783034,2.535521,-1.4484514,5.136114,0.9605672,1.0105424,-2.540291,1.0455314,4
-596.9131,77.41116,-3.2331867,13.730675,3.4573073,0.31788164,-8.857134,-8.8056,-17.552433,-6.1633782,-1.3357167,-9.528827,-1.8174255,-8.914389,-1.3312263,-3.610391,-7.9623675,-3.9532418,-4.8812537,-2.2939036,-7.4609537,1.4986086,-6.934732,-3.641219,-2.6449022,-2.0052698,-4.936723,-0.45716253,-3.4605944,0.8237347,-2.146273,1.0416253,-2.3606877,-0.25608462,-2.8744571,-0.48750526,-2.0558631,0.34873587,-4.313614,-1.3970827,5
-569.84796,65.851135,0.20668687,5.641087,3.2967043,-1.0942242,-12.153418,-8.74115,-17.524973,-6.8203764,-1.18304,-8.358425,-4.073904,-5.3786926,-2.218611,-3.028189,-6.754616,-3.2008893,-1.836387,0.06505544,-6.174704,1.3525696,-7.4194455,-2.3122764,-2.9104583,-1.6712883,-5.787673,0.40264922,-2.542462,1.6517352,-2.5757344,0.8989403,-2.7321174,-1.4098142,-1.8688071,2.1720233,-0.28526905,1.6144358,-2.2691538,-1.4157335,5
-633.66895,69.67292,2.8777926,17.18284,1.4009719,3.5250857,-6.4274874,-13.888357,-9.0476465,-3.438741,-3.826864,-4.66997,-1.228968,-6.007608,-1.51822,-0.07732274,-8.359433,-2.309858,-2.4144795,-3.2584543,-9.486324,-0.63038564,-3.8870137,-4.949234,-4.883191,-2.7220824,-5.171647,-2.2097633,-3.4909678,-2.0476089,-4.753063,-1.7988212,-5.2582073,-2.2487473,-5.6011786,-1.5916246,-3.2114747,-3.7711313,-6.075838,-3.4915612,5
-617.4261,68.987076,-1.9385316,12.818857,-0.7733969,4.144536,-7.2766895,-13.169302,-9.733227,-2.0177124,-0.060623344,-5.2026396,-0.7502507,-8.149579,-1.7447512,0.050634224,-7.6820064,-3.2454693,-1.8360944,-2.4213238,-7.4789815,-2.2048793,-4.3691454,-4.4430227,-5.3595123,-1.5467321,-5.448367,-0.7456299,-2.3711197,-2.1918612,-3.994552,-2.1005094,-4.6187215,-2.3384902,-5.6535954,-2.650795,-2.517204,-0.76277775,-4.1644645,-2.0792203,5
-441.79965,43.903614,-10.508599,-1.8258989,-12.697946,-4.2048807,-14.675969,-19.189825,-18.233227,-10.435376,-4.9649267,-5.0009437,-8.327341,-7.1219893,-7.644571,-6.171816,-6.1200476,-2.4497283,-6.014197,-6.2343016,-8.834545,-1.811467,-2.0512984,2.3656962,2.6574256,1.5789882,1.2296944,4.820964,1.8089622,3.6746032,1.8812454,4.9860344,1.2320424,3.6642544,1.8620552,2.1410005,0.15980284,1.3533497,-2.0405664,-0.7307244,5
-433.6139,43.694466,-10.206268,3.204232,-12.940405,-8.481558,-23.638315,-21.118532,-12.593388,-8.789914,-6.8913307,-7.6735563,-8.955268,-11.187711,-2.668481,-0.6503589,-11.729662,-1.5852256,-7.7993913,-6.8233895,-6.6395035,-3.5317576,-1.3113681,-0.94630575,-2.4539375,0.9568422,-4.5057974,-0.5538502,-3.3342223,2.4542286,1.105234,3.998974,0.7195903,1.2485868,0.13503993,3.4868622,0.47465962,-0.2290063,-4.66344,-2.081366,5
-459.72272,51.22753,9.845078,-0.694606,-10.4510145,-0.29198143,-15.993677,-19.730436,-6.3407836,-11.634178,-12.209992,-3.578903,-9.535064,-14.145042,-6.5799537,-6.2231,-16.072706,-5.925419,-6.37796,-6.832788,-10.357452,-4.723994,-8.669848,-4.828964,-5.6371837,0.80682856,-5.778788,4.854426,-0.028484285,3.2254722,0.1361047,0.66465706,-3.9246633,1.3003563,-0.6458948,3.0716894,0.6771175,2.198552,0.009223556,1.0191606,5
-456.88593,42.87714,-3.191491,4.0277076,-4.9958487,-3.0495393,-16.033056,-20.275604,-9.740495,-8.397114,-11.355777,-6.3110805,-9.848257,-8.051118,-5.0808926,-0.1548297,-9.765572,-2.7983868,-4.307869,-4.9320626,-7.351392,-3.9605849,-5.572197,-5.1545415,-5.791538,-2.639539,-6.081294,-0.02544004,-0.34597287,2.6354153,1.9655721,1.9185128,-0.2145021,0.7617352,0.42358238,4.086807,0.56867397,0.36913055,-0.8886308,-0.16386226,5
