path,emotion,source
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_02\03-01-03-01-01-01-02.wav,happy,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_02\03-01-03-01-01-02-02.wav,happy,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_02\03-01-03-01-02-01-02.wav,happy,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_02\03-01-03-01-02-02-02.wav,happy,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_02\03-01-03-02-01-01-02.wav,happy,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_02\03-01-03-02-01-02-02.wav,happy,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_02\03-01-03-02-02-01-02.wav,happy,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_02\03-01-03-02-02-02-02.wav,happy,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_02\03-01-04-01-01-01-02.wav,sad,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_02\03-01-04-01-01-02-02.wav,sad,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_02\03-01-04-01-02-01-02.wav,sad,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_02\03-01-04-01-02-02-02.wav,sad,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_02\03-01-04-02-01-01-02.wav,sad,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_02\03-01-04-02-01-02-02.wav,sad,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_02\03-01-04-02-02-01-02.wav,sad,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_02\03-01-04-02-02-02-02.wav,sad,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_02\03-01-05-01-01-01-02.wav,angry,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_02\03-01-05-01-01-02-02.wav,angry,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_02\03-01-05-01-02-01-02.wav,angry,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_02\03-01-05-01-02-02-02.wav,angry,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_02\03-01-05-02-01-01-02.wav,angry,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_02\03-01-05-02-01-02-02.wav,angry,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_02\03-01-05-02-02-01-02.wav,angry,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_02\03-01-05-02-02-02-02.wav,angry,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_02\03-01-06-01-01-01-02.wav,fear,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_02\03-01-06-01-01-02-02.wav,fear,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_02\03-01-06-01-02-01-02.wav,fear,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_02\03-01-06-01-02-02-02.wav,fear,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_02\03-01-06-02-01-01-02.wav,fear,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_02\03-01-06-02-01-02-02.wav,fear,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_02\03-01-06-02-02-01-02.wav,fear,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_02\03-01-06-02-02-02-02.wav,fear,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_02\03-01-07-01-01-01-02.wav,disgust,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_02\03-01-07-01-01-02-02.wav,disgust,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_02\03-01-07-01-02-01-02.wav,disgust,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_02\03-01-07-01-02-02-02.wav,disgust,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_02\03-01-07-02-01-01-02.wav,disgust,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_02\03-01-07-02-01-02-02.wav,disgust,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_02\03-01-07-02-02-01-02.wav,disgust,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_02\03-01-07-02-02-02-02.wav,disgust,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_02\03-01-08-01-01-01-02.wav,surprise,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_02\03-01-08-01-01-02-02.wav,surprise,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_02\03-01-08-01-02-01-02.wav,surprise,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_02\03-01-08-01-02-02-02.wav,surprise,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_02\03-01-08-02-01-01-02.wav,surprise,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_02\03-01-08-02-01-02-02.wav,surprise,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_02\03-01-08-02-02-01-02.wav,surprise,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_02\03-01-08-02-02-02-02.wav,surprise,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_03\03-01-01-01-01-01-03.wav,neutral,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_03\03-01-01-01-01-02-03.wav,neutral,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_03\03-01-01-01-02-01-03.wav,neutral,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_03\03-01-01-01-02-02-03.wav,neutral,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_03\03-01-02-01-01-01-03.wav,neutral,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_03\03-01-02-01-01-02-03.wav,neutral,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_03\03-01-02-01-02-01-03.wav,neutral,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_03\03-01-02-01-02-02-03.wav,neutral,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_03\03-01-02-02-01-01-03.wav,neutral,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_03\03-01-02-02-01-02-03.wav,neutral,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_03\03-01-02-02-02-01-03.wav,neutral,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_03\03-01-02-02-02-02-03.wav,neutral,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_03\03-01-03-01-01-01-03.wav,happy,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_03\03-01-03-01-01-02-03.wav,happy,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_03\03-01-03-01-02-01-03.wav,happy,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_03\03-01-03-01-02-02-03.wav,happy,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_03\03-01-03-02-01-01-03.wav,happy,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_03\03-01-03-02-01-02-03.wav,happy,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_03\03-01-03-02-02-01-03.wav,happy,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_03\03-01-03-02-02-02-03.wav,happy,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_03\03-01-04-01-01-01-03.wav,sad,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_03\03-01-04-01-01-02-03.wav,sad,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_03\03-01-04-01-02-01-03.wav,sad,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_03\03-01-04-01-02-02-03.wav,sad,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_03\03-01-04-02-01-01-03.wav,sad,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_03\03-01-04-02-01-02-03.wav,sad,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_03\03-01-04-02-02-01-03.wav,sad,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_03\03-01-04-02-02-02-03.wav,sad,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_03\03-01-05-01-01-01-03.wav,angry,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_03\03-01-05-01-01-02-03.wav,angry,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_03\03-01-05-01-02-01-03.wav,angry,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_03\03-01-05-01-02-02-03.wav,angry,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_03\03-01-05-02-01-01-03.wav,angry,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_03\03-01-05-02-01-02-03.wav,angry,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_03\03-01-05-02-02-01-03.wav,angry,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_03\03-01-05-02-02-02-03.wav,angry,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_03\03-01-06-01-01-01-03.wav,fear,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_03\03-01-06-01-01-02-03.wav,fear,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_03\03-01-06-01-02-01-03.wav,fear,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_03\03-01-06-01-02-02-03.wav,fear,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_03\03-01-06-02-01-01-03.wav,fear,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_03\03-01-06-02-01-02-03.wav,fear,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_03\03-01-06-02-02-01-03.wav,fear,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_03\03-01-06-02-02-02-03.wav,fear,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_03\03-01-07-01-01-01-03.wav,disgust,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_03\03-01-07-01-01-02-03.wav,disgust,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_03\03-01-07-01-02-01-03.wav,disgust,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_03\03-01-07-01-02-02-03.wav,disgust,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_03\03-01-07-02-01-01-03.wav,disgust,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_03\03-01-07-02-01-02-03.wav,disgust,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_03\03-01-07-02-02-01-03.wav,disgust,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_03\03-01-07-02-02-02-03.wav,disgust,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_03\03-01-08-01-01-01-03.wav,surprise,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_03\03-01-08-01-01-02-03.wav,surprise,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_03\03-01-08-01-02-01-03.wav,surprise,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_03\03-01-08-01-02-02-03.wav,surprise,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_03\03-01-08-02-01-01-03.wav,surprise,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_03\03-01-08-02-01-02-03.wav,surprise,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_03\03-01-08-02-02-01-03.wav,surprise,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_03\03-01-08-02-02-02-03.wav,surprise,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_04\03-01-01-01-01-01-04.wav,neutral,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_04\03-01-01-01-01-02-04.wav,neutral,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_04\03-01-01-01-02-01-04.wav,neutral,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_04\03-01-01-01-02-02-04.wav,neutral,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_04\03-01-02-01-01-01-04.wav,neutral,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_04\03-01-02-01-01-02-04.wav,neutral,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_04\03-01-02-01-02-01-04.wav,neutral,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_04\03-01-02-01-02-02-04.wav,neutral,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_04\03-01-02-02-01-01-04.wav,neutral,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_04\03-01-02-02-01-02-04.wav,neutral,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_04\03-01-02-02-02-01-04.wav,neutral,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_04\03-01-02-02-02-02-04.wav,neutral,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_04\03-01-03-01-01-01-04.wav,happy,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_04\03-01-03-01-01-02-04.wav,happy,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_04\03-01-03-01-02-01-04.wav,happy,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_04\03-01-03-01-02-02-04.wav,happy,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_04\03-01-03-02-01-01-04.wav,happy,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_04\03-01-03-02-01-02-04.wav,happy,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_04\03-01-03-02-02-01-04.wav,happy,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_04\03-01-03-02-02-02-04.wav,happy,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_04\03-01-04-01-01-01-04.wav,sad,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_04\03-01-04-01-01-02-04.wav,sad,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_04\03-01-04-01-02-01-04.wav,sad,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_04\03-01-04-01-02-02-04.wav,sad,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_04\03-01-04-02-01-01-04.wav,sad,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_04\03-01-04-02-01-02-04.wav,sad,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_04\03-01-04-02-02-01-04.wav,sad,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_04\03-01-04-02-02-02-04.wav,sad,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_04\03-01-05-01-01-01-04.wav,angry,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_04\03-01-05-01-01-02-04.wav,angry,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_04\03-01-05-01-02-01-04.wav,angry,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_04\03-01-05-01-02-02-04.wav,angry,RAVDESS
D:\Projects\CSE445\speech_emotion_recognation\data\RAVDESS\Actor_04\03-01-05-02-01-01-04.wav,angry,RAVDESS
